FIRST_OCCU_YEAR FIRST_OCCU_MON GEO_LON GEO_LAT
12 Feb -105.0250953 39.7111723
12 Feb -104.9237893 39.7673246
12 Feb -105.0256308 39.6656187
12 Feb -104.9107967 39.7378227
12 Mar -104.9687873 39.7484128
12 Mar -104.9799135 39.7400208
12 Mar -104.9684212 39.7582392
12 Mar -105.0326057 39.7373511
12 Apr -105.0526614 39.7584028
12 Apr -104.8118899 39.7845542
12 Apr -105.0043337 39.7609489
12 Apr -105.0183744 39.7105575
12 May -104.8325407 39.7932958
12 May -104.9601965 39.7643895
12 May -105.0512282 39.708903
12 Jun -104.9596966 39.7434107
12 Jun -104.9079589 39.6957202
12 Jun -105.0562612 39.6572031
12 Jul -104.9866923 39.6679562
12 Jul -104.9058089 39.7372678
12 Aug -105.0181693 39.7326699
12 Aug -105.0323669 39.7401147
12 Aug -104.9583163 39.7674171
12 Aug -104.9440863 39.7437059
12 Sep -105.0036643 39.6952242
12 Sep -104.9875430 39.7129885
12 Oct -104.7662497 39.7792822
12 Oct -105.0093056 39.7132982
12 Oct -104.9408158 39.71011
12 Oct -104.9775308 39.7629606
12 Oct -104.9073957 39.7001264
12 Nov -104.9814269 39.7373234
12 Nov -104.9862197 39.7339897
12 Nov -105.0187436 39.6888574
12 Dec -105.0535724 39.6628099
13 Jan -105.0166848 39.6978453
13 Jan -104.9802078 39.7372604
13 Jan -104.8692500 39.7061708
13 Jan -105.0510503 39.6944895
13 Feb -104.9798867 39.7858224
13 Feb -104.9919284 39.7533658
13 Feb -105.0030547 39.6909746
13 Feb -104.9985307 39.7338095
13 Mar -104.8141696 39.7777702
13 Mar -104.9401212 39.7735445
13 Mar -105.0183057 39.6869091
13 Apr -105.0195228 39.7561858
13 Apr -105.0238725 39.7415575
13 Apr -104.9406542 39.7437527
13 Apr -104.9246167 39.7692311
13 Apr -104.9973233 39.7107769
13 Apr -104.9950515 39.7533244
13 May -105.0257157 39.7429733
13 May -104.9844234 39.7766568
13 Jun -105.0033608 39.7772763
13 Jun -104.9398146 39.7357875
13 Jul -104.9250626 39.6580319
13 Jul -104.9994930 39.7489372
13 Jul -104.8112627 39.7799439
13 Aug -104.9831528 39.7443891
13 Aug -104.8924519 39.7411144
13 Aug -105.0362204 39.7305984
13 Aug -104.8173350 39.7808084
13 Sep -105.0030006 39.6961164
13 Sep -104.9988554 39.7401167
13 Sep -105.0328386 39.7184014
13 Oct -104.9485044 39.7575545
13 Oct -105.0195895 39.7521725
13 Oct -104.8962072 39.7344819
13 Oct -105.0077581 39.7068815
13 Nov -105.0246916 39.7072751
13 Nov -104.9884906 39.7551216
13 Nov -105.0054347 39.7717863
13 Dec -104.8908553 39.7398762
13 Dec -104.8848201 39.6511734
13 Dec -104.8470906 39.789276
13 Dec -104.8964709 39.7468178
14 Jan -104.9705137 39.767522
14 Jan -105.0455291 39.6707131
14 Feb -104.8459966 39.7699928
14 Feb -105.0252205 39.7404759
14 Mar -104.7976935 39.78942
14 Mar -104.9731255 39.7617523
14 Mar -105.0505611 39.7425904
14 Mar -105.0280024 39.7366053
14 Apr -104.9141268 39.7112072
14 Apr -104.9504368 39.6780049
14 May -104.8471253 39.7706524
14 May -105.0303564 39.7116354
14 Jun -105.0447156 39.703036
14 Jun -104.9282876 39.7649224
14 Jul -104.9409814 39.6656749
14 Jul -105.0320746 39.7396797
14 Jul -105.0225896 39.7351696
14 Jul -104.8616786 39.6582017
14 Aug -104.8098498 39.7803447
14 Aug -105.0384254 39.7051171
14 Aug -104.9787009 39.7787729
14 Aug -104.7601651 39.7762875
14 Aug -104.9366618 39.7617673
14 Aug -105.0464252 39.7052251
14 Sep -104.8901916 39.7417698
14 Sep -104.9862631 39.725647
14 Oct -105.0286655 39.6908412
14 Oct -105.0036059 39.7396564
14 Oct -104.8529008 39.6587138
14 Nov -104.9290811 39.7657581
14 Nov -105.0247600 39.7428377
14 Nov -104.9704973 39.7682769
14 Dec -104.8782099 39.7238682
15 Jan -104.9499121 39.7644654
15 Jan -104.8861528 39.7392341
15 Jan -104.9640090 39.7803238
15 Jan -104.9802290 39.7401457
15 Feb -105.0314255 39.75594
15 Feb -104.9874154 39.7338549
15 Feb -104.7534794 39.7967112
15 Mar -104.9098478 39.7136676
15 Mar -104.9059991 39.7622562
15 Mar -104.9628250 39.764429
15 Mar -104.8916834 39.7419779
15 Apr -104.9792581 39.7540572
15 Apr -104.9678051 39.7644351
15 Apr -104.9821160 39.7398383
15 Apr -104.9871933 39.718516
15 Apr -104.8829732 39.7772889
15 Apr -104.9774516 39.7898059
15 Apr -104.9670932 39.7626228
15 Apr -104.9661222 39.7658825
15 May -105.0384997 39.7002994
15 May -105.0262097 39.7872285
15 Jun -104.8469420 39.7773471
15 Jun -104.8897052 39.7404523
15 Jul -105.0110341 39.6805155
15 Jul -105.0279426 39.7116807
15 Jul -105.0436321 39.7177081
15 Jul -105.0252296 39.7512071
15 Jul -104.9554822 39.7617818
15 Jul -104.8467447 39.7954591
15 Jul -105.0242783 39.6922292
15 Aug -105.0239343 39.7764608
15 Aug -104.9858144 39.7514533
15 Aug -104.9358965 39.6941911
15 Aug -105.0230157 39.6714612
15 Aug -104.9337654 39.6689458
15 Aug -104.9269802 39.7111772
15 Aug -104.9343984 39.7632252
15 Sep -104.9249304 39.7561487
15 Sep -104.7545373 39.7768861
15 Sep -104.8913056 39.7404331
15 Sep -105.0514669 39.656548
15 Sep -104.8356052 39.7778629
15 Sep -104.9729817 39.7662072
15 Sep -104.9729817 39.7662072
15 Oct -104.8573566 39.6592928
15 Oct -104.9050611 39.6954777
15 Oct -104.9871573 39.6864919
15 Nov -104.8897052 39.7404523
15 Nov -105.0459496 39.6551322
15 Nov -104.9899683 39.7147918
15 Nov -104.9935737 39.7397729
15 Nov -104.9322604 39.7641236
15 Nov -105.0359541 39.6332731
15 Nov -104.8469269 39.7827799
15 Nov -104.9046234 39.7675998
15 Dec -105.0355360 39.7544931
15 Dec -105.0243687 39.6851686
16 Jan -104.9892415 39.7325973
16 Jan -104.8453511 39.7819722
16 Jan -104.9713893 39.7811423
16 Feb -105.0114285 39.7050163
16 Feb -104.9944042 39.7646677
16 Mar -104.9340412 39.7634047
16 Mar -105.0495510 39.6988735
16 Mar -104.9826439 39.7343144
16 Apr -105.0287038 39.7105389
16 Apr -105.0388612 39.7204732
16 Apr -104.7651915 39.7855321
16 Apr -105.0462526 39.7412616
16 May -104.9777095 39.7547311
16 Jun -104.9232728 39.7678409
16 Jun -105.0014047 39.751169
16 Jun -104.9808218 39.7402911
16 Jul -105.0060833 39.6958795
